model_id,model_type,params,split,feature,score,rank
RF_paramset-4,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1000, 'max_features': 'sqrt'}",1,year_82,0.0267227168781,9
RF_paramset-4,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1000, 'max_features': 'sqrt'}",1,orig_1,0.0256636388203,10
RF_paramset-4,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1000, 'max_features': 'sqrt'}",2,weight,0.12352683533,1
RF_paramset-4,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1000, 'max_features': 'sqrt'}",2,displacement,0.120179330902,2
RF_paramset-4,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1000, 'max_features': 'sqrt'}",2,cyli_4,0.119960865469,3
RF_paramset-4,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1000, 'max_features': 'sqrt'}",2,horsepower,0.100534518555,4
RF_paramset-4,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1000, 'max_features': 'sqrt'}",2,cyli_8,0.0537636763349,5
RF_paramset-4,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1000, 'max_features': 'sqrt'}",2,orig_1,0.0450880967169,6
RF_paramset-4,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1000, 'max_features': 'sqrt'}",2,acceleration,0.033577119135,7
RF_paramset-4,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1000, 'max_features': 'sqrt'}",2,orig_3,0.0265614723825,8
RF_paramset-4,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1000, 'max_features': 'sqrt'}",2,year_82,0.0263600074146,9
RF_paramset-4,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1000, 'max_features': 'sqrt'}",2,cyli_6,0.0201622339183,10
RF_paramset-4,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1000, 'max_features': 'sqrt'}",3,displacement,0.119146648802,1
RF_paramset-4,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1000, 'max_features': 'sqrt'}",3,cyli_4,0.112103866045,2
RF_paramset-4,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1000, 'max_features': 'sqrt'}",3,weight,0.111892415435,3
RF_paramset-4,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1000, 'max_features': 'sqrt'}",3,horsepower,0.0883950183659,4
RF_paramset-4,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1000, 'max_features': 'sqrt'}",3,cyli_8,0.0566455636911,5
RF_paramset-4,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1000, 'max_features': 'sqrt'}",3,orig_1,0.0497384338967,6
RF_paramset-4,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1000, 'max_features': 'sqrt'}",3,acceleration,0.0389154339549,7
RF_paramset-4,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1000, 'max_features': 'sqrt'}",3,cyli_6,0.0326164545008,8
RF_paramset-4,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1000, 'max_features': 'sqrt'}",3,orig_3,0.0246229573535,9
RF_paramset-4,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1000, 'max_features': 'sqrt'}",3,orig_2,0.0182688645954,10
RF_paramset-5,RF,"{'min_samples_split': 5, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1, 'max_features': 'sqrt'}",1,displacement,0.693640358175,1
RF_paramset-5,RF,"{'min_samples_split': 5, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1, 'max_features': 'sqrt'}",1,horsepower,0.0756964908983,2
RF_paramset-5,RF,"{'min_samples_split': 5, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1, 'max_features': 'sqrt'}",1,make_volvo,0.0653068779596,3
RF_paramset-5,RF,"{'min_samples_split': 5, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1, 'max_features': 'sqrt'}",1,full_pinto,0.0421571032759,4
RF_paramset-5,RF,"{'min_samples_split': 5, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1, 'max_features': 'sqrt'}",1,full_100ls,0.0280287767726,5
RF_paramset-5,RF,"{'min_samples_split': 5, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1, 'max_features': 'sqrt'}",1,full_280s,0.023464809571,6
RF_paramset-5,RF,"{'min_samples_split': 5, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1, 'max_features': 'sqrt'}",1,orig_3,0.0221214680361,7
RF_paramset-5,RF,"{'min_samples_split': 5, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1, 'max_features': 'sqrt'}",1,cyli_3,0.0209155914068,8
RF_paramset-5,RF,"{'min_samples_split': 5, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1, 'max_features': 'sqrt'}",1,full_vega,0.0166293179977,9
RF_paramset-5,RF,"{'min_samples_split': 5, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1, 'max_features': 'sqrt'}",1,full_99gle,0.00985486671913,10
RF_paramset-5,RF,"{'min_samples_split': 5, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1, 'max_features': 'sqrt'}",2,cyli_4,0.48022849244,1
RF_paramset-5,RF,"{'min_samples_split': 5, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1, 'max_features': 'sqrt'}",2,cyli_6,0.125757004086,2
