model_id,model_type,params,threshold,subsample,learning_rate,random_state,max_depth,n_estimators,roc_auc_avg,roc_auc_std,accuracy_avg,accuracy_std,precision_avg,precision_std,recall_avg,recall_std
GB_paramset-12,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1000}",0.5,1.0,0.001,1,1,1000,0.940750424566,0.013638431615,0.891656622472,0.0130279824946,0.85425748329,0.0257090038414,0.936838624339,0.0468981045445
GB_paramset-12,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1000}",0.6,1.0,0.001,1,1,1000,0.940750424566,0.013638431615,0.886644091144,0.0307060903278,0.876612903226,0.0184722607985,0.889880952381,0.0678594271754
GB_paramset-12,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1000}",0.7,1.0,0.001,1,1,1000,0.940750424566,0.013638431615,0.81346496011,0.0362253022706,0.930808080808,0.050043344135,0.669560185185,0.115651006881
GB_paramset-12,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1000}",0.8,1.0,0.001,1,1,1000,0.940750424566,0.013638431615,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
GB_paramset-12,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1000}",0.9,1.0,0.001,1,1,1000,0.940750424566,0.013638431615,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
GB_paramset-13,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 3, 'n_estimators': 1}",0.5,0.1,0.001,1,3,1,0.861227824463,0.0242467964245,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
GB_paramset-13,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 3, 'n_estimators': 1}",0.6,0.1,0.001,1,3,1,0.861227824463,0.0242467964245,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
GB_paramset-13,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 3, 'n_estimators': 1}",0.7,0.1,0.001,1,3,1,0.861227824463,0.0242467964245,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
GB_paramset-13,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 3, 'n_estimators': 1}",0.8,0.1,0.001,1,3,1,0.861227824463,0.0242467964245,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
GB_paramset-13,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 3, 'n_estimators': 1}",0.9,0.1,0.001,1,3,1,0.861227824463,0.0242467964245,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
